source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Liu2024,Liu2024_09,600.0,76.68,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,19000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"600g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.06890016856323454,5106323.943384064,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_10,600.0,76.68,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,11000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"600g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08057690498917719,2527884.0495587382,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_11,600.0,76.68,1.0,0.363343,1.836922107566826e-05,293.15,30000.0,7500.0,5.0,Liu_CHIEF_model,digitized_from_figure,"600g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.09156471516165542,1516729.5948604308,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_12,600.0,76.68,1.0,0.121114,1.836922107566826e-05,293.15,10000.0,2400.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"600g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0879023684818769,505575.14016212284,0.2234057575841057,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_13,800.0,88.54,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,32000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"800g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.07537796724909408,5896112.701450509,0.2579596475808127,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_14,800.0,88.54,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,16000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"800g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0761317195373057,2918868.7238905933,0.2579596475808127,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_15,800.0,88.54,1.0,0.363343,1.836922107566826e-05,293.15,30000.0,10000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"800g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.07930391817037429,1751320.2703304973,0.2579596475808127,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_16,800.0,88.54,1.0,0.121114,1.836922107566826e-05,293.15,10000.0,3700.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"800g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08802759144044432,583771.8167704011,0.2579596475808127,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_17,1000.0,98.99,1.0,1.223255,1.836922107566826e-05,293.15,101000.0,53000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"1000g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0893336117668112,6592005.831450031,0.28840552873305453,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_18,1000.0,98.99,1.0,0.605572,1.836922107566826e-05,293.15,50000.0,22000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"1000g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0749053637533849,3263370.397311156,0.28840552873305453,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_19,1000.0,98.99,1.0,0.363343,1.836922107566826e-05,293.15,30000.0,14000.0,5.0,Liu_CHIEF_model,digitized_from_figure,"1000g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0794451264988163,1958021.1606055556,0.28840552873305453,0.8695652173913044,0.15,0.2,0.09627520187033368
Liu2024,Liu2024_20,1000.0,98.99,1.0,0.121114,1.836922107566826e-05,293.15,10000.0,5170.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"1000g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08801409309108135,652671.9238999548,0.28840552873305453,0.8695652173913044,0.15,0.2,0.09627520187033368
Xia2024,Xia2024_T2_010g,10.0,4.669047011971501,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,4980.0,28.7,ZJU400_enclosed_arm,cfd_validated,"g=10g, motor=6.98kW, sim=4.98kW, deviation=-28.7%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.04403954937003988,6255341.857107876,0.06121431836298698,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_T2_020g,20.0,6.603029607687671,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,12240.0,26.3,ZJU400_enclosed_arm,cfd_validated,"g=20g, motor=16.6kW, sim=12.24kW, deviation=-26.3%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.038269249734884395,8846389.291602062,0.08657011924036058,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
