pressure_kpa,t_s,omega_rad_s
3,0.9941747095043799,1.0463627040276837
3,1.9781750255675623,1.0463627040276837
3,2.9831785771563477,1.024577244322354
3,3.9881821287451333,1.0142668722846462
3,4.9931856803339185,1.0035632706496522
3,5.977388926208943,0.9920717370500588
3,6.981977105839115,0.9817775654826512
3,7.986983828206211,0.9702860318830577
3,8.992399580975299,0.9595942124082821
3,9.997406303342395,0.9492882586806562
3,10.981612719995729,0.9377967250810627
3,11.986197728847591,0.9271007327578765
3,12.99162299395161,0.9053152730525467
3,13.996204832025162,0.8946192807293604
3,14.980414419456807,0.8831196468946167
3,15.98541797104559,0.8728095203185803
3,16.990415181077758,0.8621177008438047
3,17.995837275403467,0.8506303400926218
3,18.979837591466648,0.8403280682900641
3,19.98463187168697,0.8296362488152886
3,20.989635423275757,0.8181488880641057
3,21.994638974864543,0.7963511552752152
3,22.978848562296186,0.7856593358004396
3,23.98364918407313,0.7753573094595532
3,24.988646394105295,0.7638699487083702
3,25.994062146874384,0.7535718497542233
3,26.99886276865133,0.7313683688228145
3,27.983066014526354,0.7210744427170782
3,28.987448093566375,0.7095829091174847
3,29.993079459260542,0.6988869167942985
3,30.997867397924246,0.6885924997652196
3,31.982279915167734,0.6770931113921473
3,32.98687760713283,0.6560950927280746
3,33.99250263127038,0.6446035591284811
3,34.99729691149071,0.6224246243641939
3,35.98150015736574,0.6224246243641939
3,36.9860851662176,0.6014101597681498
3,37.9915072605433,0.5899269718653776
3,38.99609861095178,0.5796249455244912
3,40.00110216254057,0.5574452743751903
3,40.9853054084156,0.5471432480343039
3,41.990308960004384,0.5356519598963816
3,42.99573105433009,0.5249478673380452
3,44.000322404738576,0.5146539412323089
3,44.98451930905698,0.5031624076327154
3,45.989732132014225,0.49246641530952917
3,46.99473568360301,0.47067285536904924
3,47.999536305379955,0.4603627287930127
3,48.9837458928116,0.4484774746727906
3,49.98874310284376,0.4278812767644966
3,50.99395592580101,0.4278812767644966
3,51.99854727620949,0.4163978434000532
3,52.982541250716054,0.395387797114091
3,53.98754480230484,0.3839004363629081
3,54.99317616799901,0.37320444403972186
3,55.997964106662714,0.36172101067527845
3,57.002555457071196,0.35141898433439206
3,57.98676504450284,0.32921550340298333
3,58.99239006864039,0.31892133183557575
3,59.99677214768041,0.3082255849740607
3,61.001769357712575,0.29673405137446723
3,61.985769673775756,0.28643987980705965
3,62.99140103946993,0.27494834620746617
3,63.99640459105871,0.2539424727699146
3,65.00098959991058,0.2424590394054712
3,65.9851928457856,0.23176304708228496
3,66.99040566874285,0.2214607752797273
3,67.99520629051979,0.2099775873769551
3,69.00000057074011,0.1877741064455464
3,70.00499778077229,0.17747993487813882
3,70.98941029801577,0.15569030232439832
3,71.99483239234148,0.14499848284962275
3,72.99942374274995,0.13469228366032565
3,74.00401509315844,0.11250083035080646
3,74.98883981158222,0.10100954221288418
3,75.99384336317101,0.08001937832229038
3,76.99863764339133,0.058209863373181465
3,78.00343826516828,0.04751779843673466
3,78.98743223967485,0.025728656806336587
10,0.9939654381359183,1.0481430375290048
10,1.9781781963458722,1.0378444476515154
10,2.9831785771563477,1.0263570869003327
10,3.9879728573766715,1.0160513786343779
10,4.9931856803339185,1.0053433586893021
10,5.977388926208943,0.9938596798631876
10,6.982186377207577,0.9720742201578577
10,7.986983828206211,0.9613782278346715
10,8.99260885234376,0.9395765676590414
10,9.997409474120705,0.9288808207975264
10,10.981403448627267,0.9288808207975264
10,11.986197728847591,0.9070951156305254
10,12.99162299395161,0.8963993687690104
10,13.996414103393624,0.8849159354045669
10,14.980408077900186,0.8746016359801198
10,15.985211870455439,0.8524101826706005
10,16.990205909709296,0.8421162565648642
10,17.995830933846847,0.8314200187800067
10,18.979837591466648,0.8314200187800067
10,19.98463187168697,0.8096269497628692
10,20.989635423275757,0.7981354161632758
10,21.994638974864543,0.7874391783784183
10,22.978848562296186,0.7656539641347596
10,23.98364918407313,0.7656539641347596
10,24.988855665473757,0.7446475997738656
10,25.994062146874384,0.7446475997738656
10,26.99886276865133,0.7228542852950569
10,27.983066014526354,0.7113627516954635
10,28.988075907671757,0.7006706867590167
10,29.993079459260542,0.6788812996669473
10,30.997867397924246,0.6788812996669473
10,31.982279915167734,0.6578749353060533
10,32.98687760713283,0.6463917474032812
10,33.9922870183453,0.6356957550800949
10,34.99730325304733,0.6242123217156516
10,35.98150015736574,0.613910295374765
10,36.98629443758606,0.6032025208913605
10,37.99171653191176,0.5814045426407987
10,38.996307882320245,0.5707090412409549
10,40.00109582098395,0.5592256078765114
10,40.9853054084156,0.5489233360739538
10,41.990308960004384,0.5374318024743603
10,42.99573105433009,0.5267318827644346
10,44.000322404738576,0.5164337838102876
