source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Liu2024,Liu2024_09,600.0,76.68,1.0,1.2002561061321113,1.836922107566826e-05,293.15,101000.0,23309.74223493345,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"600g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08614840280005481,5010317.957364021,0.2234057575841057,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_10,600.0,76.68,1.0,0.5941861911545105,1.836922107566826e-05,293.15,50000.0,11973.944762897385,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"600g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08939194335179762,2480355.4244376337,0.2234057575841057,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_11,600.0,76.68,1.0,0.35651171469270637,1.836922107566826e-05,293.15,30000.0,7184.735407179206,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"600g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08939652905174647,1488213.2546625803,0.2234057575841057,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_12,600.0,76.68,1.0,0.11883723823090211,1.836922107566826e-05,293.15,10000.0,2400.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"600g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.0895864597225689,496071.08488752675,0.2234057575841057,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_13,800.0,88.54,1.0,1.2002561061321113,1.836922107566826e-05,293.15,101000.0,36055.73109790449,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"800g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08655891914705507,5785257.5892672185,0.2579596475808127,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_14,800.0,88.54,1.0,0.5941861911545105,1.836922107566826e-05,293.15,50000.0,18039.53124810649,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"800g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08748108009463372,2863988.905577831,0.2579596475808127,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_15,800.0,88.54,1.0,0.35651171469270637,1.836922107566826e-05,293.15,30000.0,10862.488941672676,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"800g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08779443435125144,1718393.343346699,0.2579596475808127,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_16,800.0,88.54,1.0,0.11883723823090211,1.836922107566826e-05,293.15,10000.0,3700.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"800g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08971408178472477,572797.7811155663,0.2579596475808127,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_17,1000.0,98.99,1.0,1.2002561061321113,1.836922107566826e-05,293.15,101000.0,47882.776962665215,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"1000g, 101kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08225483361894215,6468066.961391031,0.28840552873305453,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_18,1000.0,98.99,1.0,0.5941861911545105,1.836922107566826e-05,293.15,50000.0,24037.332005208023,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"1000g, 50kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08341030904435758,3202013.347223283,0.28840552873305453,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_19,1000.0,98.99,1.0,0.35651171469270637,1.836922107566826e-05,293.15,30000.0,14505.060282695496,1.0,Liu_CHIEF_model,digitized_from_figure_pixel,"1000g, 30kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08388837001714196,1921208.0083339699,0.28840552873305453,0.8695652173913044,0.15,0.2,0.0962752018703336
Liu2024,Liu2024_20,1000.0,98.99,1.0,0.11883723823090211,1.836922107566826e-05,293.15,10000.0,5170.0,10.0,Liu_CHIEF_model,computed_from_fitted_constant,"1000g, 10kPa",arm_in_cylinder,1.15,0.15,0.2,,0.4,0.1,low,0.08970032482512957,640402.6694446566,0.28840552873305453,0.8695652173913044,0.15,0.2,0.0962752018703336
Xia2024,Xia2024_T2_010g,10.0,4.669047011971501,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,4980.0,28.7,ZJU400_enclosed_arm,cfd_validated,"g=10g, motor=6.98kW, sim=4.98kW, deviation=-28.7%",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0440395493700398,6255341.857107876,0.0612143183629869,0.9,0.1111111111111111,0.1111111111111111,0.0572957795130823
